ID(Identifiant),Full Name,gender,Age,EMAIL,Address,ZIPCODE,TELEPHONE,S1,S2,S3,S4
39975248,Michael Larson,male,28,michael.larson@hotmail.com,"8780 Huynh Circles Apt. 142, Brandonmouth, HI",91952,143-101-4774,9,20,18,15
28307861,Tammy Wilson,male,19,tammy.wilson@hotmail.com,"7037 Frank Meadow, Cookberg, WY",97511,193-947-7140,10,16,13,19
50777576,Dalton Schultz,male,24,dalton.schultz@hotmail.com,"6450 Nichols Curve, East Nicole, MN",65406,171-191-2273,11,13,11,19
85728943,Jeffrey Hill,male,26,jeffrey.hill@hotmail.com,"97856 Smith Bypass, Michealtown, MA",19343,986-476-0425,19,11,17,9
71885138,Jesse Miller,male,20,jesse.miller@hotmail.com,"53056 Nicole Mountains, Port Williammouth, MI",81436,625-306-8736,17,13,10,12
94048382,Sheila Pratt,male,22,sheila.pratt@gmail.com,"2639 Jason Shore Apt. 868, Choiport, KY",95871,540-766-4777,17,9,20,7
91826937,Kristina Jones,male,24,kristina.jones@hotmail.com,"7342 Parker Glen, Patrickhaven, CT",90765,111-744-0757,11,14,10,20
90793305,Michael Sherman,female,24,michael.sherman@hotmail.com,"8308 Walters Street, East Jessica, ME",80976,321-250-8145,10,12,9,14
78810184,Robert Barton,male,23,robert.barton@gmail.com,"741 Sandra Junctions, South David, MA",17391,586-409-8531,13,12,10,17
30213462,Alvin Smith,male,24,alvin.smith@gmail.com,"0030 Sanford Union Suite 627, Lake Pamela, TN",71556,240-860-2535,13,15,14,7
3075274,Joseph Cobb,female,25,joseph.cobb@gmail.com,"9746 Wells Corners, Changfort, ME",90642,285-495-5667,8,10,11,11
64330655,Amber Chang,female,21,amber.chang@gmail.com,"9601 Lester Curve, Jonesburgh, DC",19857,333-764-7211,16,7,20,7
87055216,Jessica Francis,female,26,jessica.francis@hotmail.com,"76050 Todd Crescent Apt. 961, Josephbury, AS",69983,301-707-6509,17,20,15,19
43351206,Samuel Richard,male,28,samuel.richard@gmail.com,"14667 Jessica Bypass Apt. 034, Daltonville, OK",97250,979-828-1767,12,14,17,13
70514716,Jimmy Gentry,male,26,jimmy.gentry@gmail.com,"644 Austin Island, New Laurenland, NH",11846,236-318-4633,7,9,11,13
53791721,William Roy,male,25,william.roy@hotmail.com,"2603 Turner Plains, Fishershire, NJ",67891,140-736-9531,10,15,7,8
84430159,Russell Maldonado,male,19,russell.maldonado@hotmail.com,"37243 Jerry Islands Apt. 768, South Bill, MN",90090,870-622-3538,7,17,12,13
57020239,Xavier Edwards,female,28,xavier.edwards@gmail.com,"504 Price Wall, North Franciscoton, VT",14452,468-458-9935,16,17,8,13
9087873,Todd Vega,male,24,todd.vega@hotmail.com,"751 Black Loop Apt. 484, New Michaeltown, TN",94504,420-991-1428,14,12,17,8
32866072,Tracy Crawford,male,21,tracy.crawford@hotmail.com,"668 Kelly Wall Apt. 610, New Diana, DE",19362,959-970-6405,8,18,15,11
75480639,Lance Simmons,male,23,lance.simmons@hotmail.com,"19862 Jeffrey Station Apt. 998, Hernandezshire, MH",42781,442-883-6592,18,15,7,12
44901842,Marcus Woods,male,21,marcus.woods@hotmail.com,"25800 Deleon Lodge Suite 117, South Melissafurt, OK",88000,861-888-7907,12,17,19,12
89326977,Amber Mcdaniel,male,24,amber.mcdaniel@gmail.com,"2064 Roth Ford, Robertville, WA",24836,367-929-5942,20,15,10,14
12031175,Nichole Sanders,female,21,nichole.sanders@gmail.com,"6109 Smith Drive, Clarkechester, ND",47696,102-354-1226,14,18,20,12
23777450,Jose Graham,male,27,jose.graham@hotmail.com,"528 Andrew Forges, Port Zachary, PR",66607,176-221-8683,15,19,7,17
18466906,Dale Kim,female,19,dale.kim@hotmail.com,"30157 Brent Mountain, Phelpsville, SD",4739,328-579-7562,19,14,7,19
45785952,Sandra Winters,female,27,sandra.winters@hotmail.com,"4104 Frank Villages Apt. 362, Jodyberg, ME",53262,650-218-7681,9,18,9,7
78447690,Regina Wilson,female,23,regina.wilson@hotmail.com,"7987 Foster Extensions Apt. 338, Jenniferfurt, DC",99630,629-531-4337,12,10,12,18
41296189,Robert Flynn,male,19,robert.flynn@gmail.com,"5908 Larry Inlet Apt. 226, North Apriltown, MH",64628,472-024-8733,11,10,18,9
50227652,Amy Wright,female,22,amy.wright@gmail.com,"2961 Evans Forge, Whitestad, NC",11027,063-232-2722,8,17,16,16
92066163,Morgan Mcguire,female,19,morgan.mcguire@gmail.com,"85884 Ross Plains Suite 738, Williamberg, NV",2037,878-985-5963,16,11,13,11
38267323,Catherine Bush,female,24,catherine.bush@hotmail.com,"132 Carol Island, Johnview, OR",57286,861-423-7981,15,8,11,10
90535670,Antonio Brooks,female,26,antonio.brooks@gmail.com,"1558 Timothy Pine, South Lisachester, VI",19046,636-471-7451,9,7,10,10
2477122,Colton Dickson,female,23,colton.dickson@gmail.com,"77724 Dawn Mews, West Jamieberg, KY",12320,721-448-1722,7,19,18,19
54406533,Melissa Bryant,female,20,melissa.bryant@hotmail.com,"627 Ronald Island, Port Leemouth, PR",40631,837-116-3337,19,9,7,10
